PMID	Year Published	Parameters Used	Process
19307712	2009	2	metabolism
19370061	2009	4	metabolism
19384989	2009	4	metabolism
19583219	2009	1	metabolism
19664587	2009	1	metabolism
19678710	2009	1	metabolism
19797049	2009	2	metabolism
19883126	2009	1	metabolism
20050615	2010	1	metabolism
20136146	2010	1	metabolism
20160120	2010	2	metabolism
20170126	2010	4	metabolism
20364820	2010	1	metabolism
20416269	2010	2	metabolism
20452364	2010	1	metabolism
20480490	2010	1	metabolism
20498377	2010	2	metabolism
20553497	2010	1	metabolism
20717852	2011	1	metabolism
20853825	2010	6	metabolism
20887711	2010	2	metabolism
21046341	2010	10	metabolism
21059411	2011	7	metabolism
21081107	2011	2	metabolism
21119630	2010	3	metabolism
21169495	2011	2	metabolism
21278708	2011	2	metabolism
21279421	2011	1	metabolism
21296885	2011	1	metabolism
21298178	2011	3	metabolism
21669179	2011	2	metabolism
21696459	2011	1	metabolism
21704016	2011	1	metabolism
21832062	2011	2	metabolism
21928762	2011	2	metabolism
21998098	2011	1	metabolism
22017312	2011	2	metabolism
22059588	2011	1	metabolism
22138634	2012	2	metabolism
22173092	2012	1	metabolism
22411989	2012	3	metabolism
22443469	2012	1	metabolism
22471615	2013	1	metabolism
22970852	2012	1	metabolism
22984449	2012	1	metabolism
23001854	2013	1	metabolism
23018273	2012	1	metabolism
23237860	2013	3	metabolism
23484010	2013	1	metabolism
23564174	2013	1	metabolism
23879525	2013	2	metabolism
23935849	2013	3	metabolism
24123841	2013	1	metabolism
24210219	2013	3	metabolism
24479701	2014	2	metabolism
24509771	2014	8	metabolism
24530526	2014	1	metabolism
25160617	2014	6	metabolism
25225400	2014	1	metabolism
25484615	2014	1	metabolism
Barbas, C.F.; Wang, Y.F.; Wong, C.H. Deoxyribose-5-phosphate aldolase as a synthetic catalyst J. Am. Chem. Soc. 112 2013-2014 1990	1990	1	metabolism
Chiu, T.H.; Evans, K.L.; Feingold, D.S. L-Rhamnulose-1-phosphate aldolase Methods Enzymol. 42C 264-269 1975	1975	1	metabolism
Kiick, K.L.; Tirrell, D.A. Protein Engineering by In Vivo Incorporation of Non-Natural Amino Acids: Control of Incorporation of Methionine Analogues by Methionyl-tRNA Synthetase Tetrahedron 56 9487-9493 2000	2000	2	metabolism
Kruger, N.J. Effects of temperature on the kinetic properties of phosphofructokinase from Escherichia coli Biochem. Soc. Trans. 17 760-761 1989 Escherichia coli ; 0 0	1989	1	metabolism
Mino, K et al Effects of Bienzyme Complex Formation of Cysteine Synthetase from Escherichia coli on Some Properties and Kinetics. 2014. Bioscience, Biotechnology, and Biochemistry	2014	3	metabolism
Sheperdson, M.; Pardee, A.B. Production and crystallization of aspartate transcarbamylase J. Biol. Chem. 235 3233-3237 1960	1960	1	metabolism
Zhang, Q.; Liu, H.w. Studies of UDP-galactopyranose mutase from Escherichia coli: An unusual role of reduced FAD in its catalysis J. Am. Chem. Soc. 122 9065-9070 2000	2000	1	metabolism
