Time	Full Chromosome	Fraction 1	Fraction 2
0	1	0.39975084461734928	0
0	1	0.39983404009979145	0
0	1	0.39991723558223369	0
0	1	0.40000043106467587	0
0	1	0.40008362654711804	0
1	1	0.40045563536239071	0
1	1	0.40082764417766331	0
2	1	0.40119965299293592	0
3	1	0.40157166180820852	0
4	1	0.40194367062348119	0
5	1	0.40231567943875379	0
6	1	0.4026876882540264	0
7	1	0.40305969706929906	0
8	1	0.40343170588457167	0
9	1	0.40380371469984427	0
9	1	0.40417572351511688	0
10	1	0.40454773233038954	0
11	1	0.40491974114566215	0
12	1	0.40529174996093476	0
13	1	0.40566375877620736	0
14	1	0.40603576759148002	0
15	1	0.40640777640675263	0
16	1	0.40677978522202524	0
17	1	0.4071517940372979	0
17	1	0.4075238028525705	0
18	1	0.40789581166784311	0
19	1	0.40826782048311572	0
20	1	0.40863982929838838	0
21	1	0.40901183811366099	0
22	1	0.40938384692893359	0
23	1	0.4097558557442062	0
24	1	0.41012786455947886	0
25	1	0.41049987337475147	0
26	1	0.41087188219002407	0
26	1	0.41124389100529668	0
27	1	0.41161589982056934	0
28	1	0.41198790863584195	0
29	1	0.41235991745111455	0
30	1	0.41273192626638722	0
31	1	0.41310393508165982	0
32	1	0.41347594389693243	0
33	1	0.41384795271220504	0
34	1	0.4142199615274777	0
34	1	0.4145919703427503	0
35	1	0.41496397915802291	0
36	1	0.41533598797329552	0
37	1	0.41570799678856818	0
38	1	0.41608000560384079	0
39	1	0.41645201441911339	0
40	1	0.41682402323438605	0
41	1	0.41719603204965866	0
42	1	0.41756804086493127	0
42	1	0.41794004968020387	0
43	1	0.41831205849547654	0
44	1	0.41868406731074914	0
45	1	0.41905607612602175	0
46	1	0.41942808494129435	0
47	1	0.41980009375656702	0
48	1	0.42017210257183962	0
49	1	0.42054411138711223	0
50	1	0.42091612020238489	0
51	1	0.4212881290176575	0
51	1	0.4216601378329301	0
52	1	0.42203214664820271	0
53	1	0.42240415546347537	0
54	1	0.42277616427874798	0
55	1	0.42314817309402059	0
