PMID	Year Published	Parameters Used	Parameters Reported
11786019	2002	0	2
11803023	2002	2	12
11814333	2002	1	3
11820287	2002	0	3
11825604	2002	0	2
11825618	2002	0	6
11888289	2002	0	6
11904225	2002	0	3
11934293	2002	1	2
11967363	2002	3	3
11985492	2002	0	2
12021453	2002	2	4
12034706	2002	0	2
12097643	2002	2	2
12130657	2002	0	4
12135357	2002	3	5
12181314	2002	0	2
12220175	2002	0	2
12234497	2002	0	6
12356303	2002	1	2
12370189	2002	2	4
12379100	2002	0	6
12383057	2003	4	5
12390027	2002	0	2
12418221	2002	0	1
12455612	2002	0	4
12467706	2002	0	2
12471501	2002	0	1
12475234	2002	0	2
12482597	2002	0	4
12517338	2003	1	2
12531904	2003	0	4
12533518	2003	0	3
12535615	2003	4	4
12538870	2003	0	3
12538898	2003	0	2
12627979	2003	3	6
12637497	2003	7	15
12662918	2003	0	6
12686112	2003	0	2
12706338	2003	6	8
12707276	2003	0	2
12711733	2003	1	5
12718525	2003	0	2
12721364	2003	0	1
12738780	2003	0	4
12739900	2003	0	6
12755633	2003	0	1
12756244	2003	0	3
12766171	2003	0	4
12767227	2003	0	1
12773539	2003	0	3
12782623	2003	0	2
12805358	2003	2	4
12818673	2003	0	4
12821154	2003	0	2
12824188	2003	2	4
12831838	2003	0	3
12849997	2003	0	2
12930982	2003	0	2
12937174	2003	2	4
12975365	2003	1	2
13129953	2003	0	2
13785427	1961	1	1
14235524	1965	0	2
14556652	2004	1	1
14597191	2003	1	2
14640961	2003	2	2
14660562	2004	0	2
14661956	2003	0	3
14672708	2003	0	4
14679218	2003	0	8
14690420	2003	3	3
14705941	2004	0	3
14718657	2004	0	2
14744140	2004	0	2
14750804	2004	0	2
14767072	2004	3	8
14970394	2004	2	2
14976199	2004	0	2
14982443	2004	2	2
15004015	2004	0	2
15049687	2004	2	2
15066435	2004	1	9
15069062	2004	0	2
15078105	2004	0	2
15081891	2004	0	2
15096594	2004	0	7
15110746	2004	4	12
15122899	2004	0	2
15147967	2004	0	4
15155761	2004	0	8
15157072	2004	6	21
15194235	2004	0	3
15208312	2004	0	4
15210128	2004	0	5
15248753	2004	2	2
15249053	2004	2	6
15271350	2004	1	4
15289581	2004	4	4
15294295	2004	0	6
15308670	2004	2	3
15313226	2004	0	2
15362869	2004	2	4
15378531	2004	0	4
15379557	2004	1	7
15381761	2004	0	2
15447632	2005	0	3
15449943	2004	0	6
15450175	2004	0	2
15489502	2004	14	34
15489861	2004	1	2
15491158	2004	0	2
15498577	2004	2	4
15507440	2004	0	2
15511226	2004	0	2
15526031	2004	0	2
15531627	2004	2	2
15563150	2004	0	2
15596430	2005	0	8
15606764	2004	0	2
15640355	2005	0	2
15642479	2005	0	3
15654896	2005	3	5
15658853	2005	1	2
15663941	2005	0	2
15680231	2005	1	5
15701051	2005	0	2
15705580	2005	0	2
15709736	2005	0	6
15723538	2005	0	5
15723541	2005	1	6
15723544	2005	0	4
15751955	2005	0	2
15760175	2005	0	2
15767255	2005	0	5
15767583	2005	0	2
15788389	2005	0	3
15789416	2005	0	2
15796715	2005	3	4
15797252	2005	3	3
15820980	2005	0	2
15833738	2005	0	2
15837321	2005	0	2
15843156	2005	1	1
15865426	2005	0	5
15882062	2005	0	2
15882071	2005	0	4
15882995	2005	0	3
15895677	2005	0	2
15897188	2005	0	2
15938625	2005	2	3
15944418	2005	0	2
15967977	2005	1	2
15979047	2005	0	1
16023116	2005	2	4
16039592	2005	4	4
16042602	2005	0	1
16077126	2005	4	8
16101288	2005	1	4
16156643	2005	0	2
16199563	2005	2	8
16201833	2005	2	2
16216082	2005	0	2
16221850	2005	1	2
16292827	2005	0	2
16297670	2006	3	32
16300391	2005	0	2
16301313	2006	0	2
16363798	2005	0	2
16427816	2006	2	6
16436710	2006	2	4
16464851	2006	2	8
16480719	2006	1	2
16484232	2006	0	12
16515533	2006	0	2
16567800	2006	3	6
16643838	2006	0	3
16672604	2006	3	6
16731973	2006	2	4
16740638	2006	0	2
16741232	2006	0	2
16766526	2006	4	10
16788183	2006	0	4
16793549	2006	2	2
16813561	2006	4	8
16829675	2006	3	5
16843487	2006	1	6
16844071	2006	0	2
16864571	2006	2	4
16864586	2006	0	6
16866361	2006	0	2
16872920	2006	0	5
16963780	2006	0	2
16966333	2006	1	2
16981730	2006	3	4
16990279	2006	15	114
16990935	2006	2	4
17002302	2006	0	2
17029402	2006	0	2
17059210	2006	1	4
17079236	2006	2	3
17123542	2006	2	3
17134700	2006	0	6
17176045	2007	2	4
17229734	2007	0	3
17240978	2007	1	2
17264073	2007	0	2
17298082	2007	0	3
17309433	2007	1	4
17311409	2007	0	2
17314096	2007	0	2
17333302	2007	0	2
17350690	2007	0	3
17378584	2007	0	4
17384195	2007	0	8
17401542	2007	3	4
17407263	2007	0	2
17442255	2007	2	3
17455176	2007	0	2
17535911	2007	1	3
17542990	2007	3	4
17557766	2007	0	2
17557829	2007	6	13
17559838	2007	1	2
17567047	2007	0	2
17568739	2007	3	4
17604237	2007	0	2
17616624	2007	1	4
17626052	2007	0	2
17635929	2007	2	3
17642514	2007	0	4
17652087	2007	0	2
17675380	2007	0	2
17692452	2007	0	2
17698004	2007	3	4
17711307	2007	0	2
17760421	2007	0	4
17868690	2007	0	2
17872509	2007	0	4
17947381	2007	1	2
17962400	2007	0	2
17981470	2008	0	2
17996716	2008	1	4
18056714	2008	1	2
18081839	2008	2	4
18083802	2008	3	10
18085797	2008	1	2
18171025	2008	0	2
18178143	2008	0	5
18198899	2008	0	2
18211903	2008	0	2
18245085	2008	0	2
18247525	2008	0	1
18260824	2008	0	2
18284213	2008	1	2
18299797	2008	0	3
18353368	2008	6	16
18390652	2008	1	2
18411271	2008	2	2
18422345	2008	0	3
18434499	2008	0	4
18453700	2008	0	4
18455185	2008	0	2
18458150	2008	4	4
18459799	2008	4	4
18477696	2008	0	2
18517259	2008	0	2
18567546	2008	2	2
18576672	2008	1	2
18586271	2008	0	2
18597482	2008	0	2
18635265	2008	0	4
18668238	2008	0	6
18690748	2008	0	1
18754683	2008	0	2
18754693	2008	2	4
18778244	2008	0	4
18837509	2008	1	2
18855426	2008	0	2
18937497	2008	0	3
18952013	2008	0	2
18990827	2008	2	3
19019076	2008	0	2
19019081	2008	0	3
19073594	2009	8	14
19088907	2008	0	3
19099445	2009	1	2
19119008	2009	0	2
19140736	2009	4	2
19186990	2010	0	2
19193103	2010	0	12
19213731	2009	0	4
19236959	2009	0	3
19271774	2009	0	3
19307712	2009	2	2
19366688	2009	0	2
19370061	2009	4	7
19384989	2009	4	10
19411254	2009	0	6
19462023	2009	0	2
19487291	2009	0	2
19542235	2009	0	2
19545176	2009	0	2
19583219	2009	1	2
19609521	2010	0	4
19610625	2009	0	4
19646958	2009	0	2
19664587	2009	1	2
19678710	2009	1	2
19797049	2009	2	2
19874048	2009	0	2
19883126	2009	1	5
19919824	2010	0	3
20010690	2009	0	2
20014435	2010	0	2
20040594	2010	0	4
20043879	2010	0	2
20045086	2010	0	2
20050614	2010	0	2
20050615	2010	1	2
20050699	2010	0	2
20052994	2010	0	2
20079748	2010	0	2
20136146	2010	1	2
20160114	2010	0	2
20160120	2010	2	4
20170126	2010	4	5
20187643	2010	0	9
20236319	2010	0	8
20353808	2010	0	3
20364820	2010	1	2
20416269	2010	2	2
20452364	2010	1	1
20480490	2010	1	2
20498377	2010	2	2
20504042	2010	0	2
20553497	2010	1	6
20600565	2010	0	4
20709017	2010	0	3
20717852	2011	1	2
20817755	2010	0	6
20826162	2010	0	2
20831184	2010	0	2
20853825	2010	6	10
20887711	2010	2	3
20921376	2010	0	2
