B Num,Symbol,EcoCycID,ECK Num
b2212,alkB,EG10037,ECK2204
b2212,aidD,EG10037,ECK2204
b0505,allA,G6275,ECK0498
b0505,glxA2,G6275,ECK0498
b0505,ybbT,G6275,ECK0498
b0512,allB,G6281,ECK0505
b0512,glxB3,G6281,ECK0505
b0512,ybbX,G6281,ECK0505
b0516,allC,G6285,ECK0509
b0516,glxB7,G6285,ECK0509
b0516,ylbB,G6285,ECK0509
b0517,allD,G6286,ECK0510
b0517,glxB8,G6286,ECK0510
b0517,ylbC,G6286,ECK0510
b0515,allE,G6284,ECK0508
b0515,glxB6,G6284,ECK0508
b0515,ylbA,G6284,ECK0508
b0515,ughY,G6284,ECK0508
b0506,allR,G6276,ECK0499
b0506,glxA3,G6276,ECK0499
b0506,ybbU,G6276,ECK0499
b0504,allS,G6274,ECK0497
b0504,ybbS,G6274,ECK0497
b0504,glxA1,G6274,ECK0497
b2624,alpA,EG12112,ECK2620
b4053,alr,EG10001,ECK4045
b4053,alr5,EG10001,ECK4045
b4087,alsA,EG11959,ECK4080
b4087,yjcW,EG11959,ECK4080
b4088,alsB,EG12458,ECK4081
b4088,yjcX,EG12458,ECK4081
b4086,alsC,EG11958,ECK4079
b4086,yjcV,EG11958,ECK4079
b4085,alsE,EG11957,ECK4078
b4085,yjcU,EG11957,ECK4078
b4084,alsK,EG11956,ECK4077
b4084,yjcT,EG11956,ECK4077
b4089,alsR,G7821,ECK4082
b4089,yjcY,G7821,ECK4082
b4089,rpiR,G7821,ECK4082
b3088,alx,G7607,ECK3079
b3088,ygjT,G7607,ECK3079
b2435,amiA,EG11823,ECK2430
b2435,yfeE,EG11823,ECK2430
b4169,amiB,EG11363,ECK4165
b4169,yjeD,EG11363,ECK4165
b2817,amiC,G7458,ECK2813
b2817,ygdN,G7458,ECK2813
b0867,amiD,G6452,ECK0858
b0867,ybjR,G6452,ECK0858
b1982,amn,EG10039,ECK1977
b4150,ampC,EG10040,ECK4146
b4150,ampA,EG10040,ECK4146
b0110,ampD,EG10041,ECK0109
b0111,ampE,EG10042,ECK0110
b0433,ampG,EG12183,ECK0427
b0376,ampH,EG12867,ECK0371
b0376,yaiH,EG12867,ECK0371
b0451,amtB,EG11821,ECK0445
b0451,ybaG,EG11821,ECK0445
b1927,amyA,EG11387,ECK1926
b1927,yedC,EG11387,ECK1926
b1640,anmK,G6880,ECK1636
b1640,ydhH,G6880,ECK1636
b1767,ansA,EG10045,ECK1765
b2957,ansB,EG10046,ECK2952
b1453,ansP,G6764,ECK1447
b1453,yncF,G6764,ECK1447
b0050,apaG,EG10047,ECK0051
b0049,apaH,EG10048,ECK0050
b0049,cfcB,EG10048,ECK0050
b4055,aphA,EG11934,ECK4047
b4055,yjbP,EG11934,ECK4047
b4055,hobH,EG11934,ECK4047
b0980,appA,EG10049,ECK0971
b0979,appB,EG11379,ECK0970
b0979,cbdB,EG11379,ECK0970
b0979,cyxB,EG11379,ECK0970
b0978,appC,EG11380,ECK0969
b0978,cbdA,EG11380,ECK0969
b0978,cyxA,EG11380,ECK0969
b4592,appX,G0-10588,ECK4402
b4592,yccB,G0-10588,ECK4402
b4592,cbdX,G0-10588,ECK4402
b0564,appY,EG10050,ECK0556
b0469,apt,EG10051,ECK0463
b0875,aqpZ,EG13270,ECK0866
b0875,bniP,EG13270,ECK0866
b0062,araA,EG10052,ECK0063
b0063,araB,EG10053,ECK0064
b0064,araC,EG10054,ECK0065
b0061,araD,EG10055,ECK0062
b2841,araE,EG10056,ECK2839
b1901,araF,EG10057,ECK1899
b1900,araG,EG10058,ECK1898
b4460,araH,EG10059,ECK1897
b1898 (obsolete),araH,EG10059,ECK1897
b1899 (obsolete),araH,EG10059,ECK1897
b0396,araJ,EG10060,ECK0390
b0396,araT,EG10060,ECK0390
b4401,arcA,EG10061,ECK4393
b4401,sfrA,EG10061,ECK4393
b4401,cpxC,EG10061,ECK4393
b4401,dye,EG10061,ECK4393
b4401,fexA,EG10061,ECK4393
b4401,msp,EG10061,ECK4393
b4401,seg,EG10061,ECK4393
b3210,arcB,EG10062,ECK3200
b4450,arcZ,G0-8871,ECK3199
b4450,psrA16,G0-8871,ECK3199
b4450,sraH,G0-8871,ECK3199
b4450,ryhA,G0-8871,ECK3199
b4550,arfA,G0-10465,ECK3278
b4550,yhdL,G0-10465,ECK3278
b0191,arfB,EG12354,ECK0191
