variant	seed	pre time	pre growth	pre ratio	pre ppgpp	min growth time	min growth growth	min growth ratio	min growth ppgpp	max ratio time	max ratio growth	max ratio ratio	max ratio ppgpp	max ppgpp time	max ppgpp growth	max ppgpp ratio	max ppgpp ppgpp	growth recovery time	growth recovery growth	growth recovery ratio	growth recovery ppgpp	ratio recovery time	ratio recovery growth	ratio recovery ratio	ratio recovery ppgpp	both recovery time	both recovery growth	both recovery ratio	both recovery ppgpp
27	0	0.0	1.3424459052931645	0.3668437473332287	21.37763031739767	207.0547263681583	0.8005668430034412	0.3681481982582169	52.572471184558815	138.00000000000364	0.9716671827989507	0.3687901757761183	37.25034728361947	299.51243781095036	0.8135282006447832	0.365764264216016	65.40759473442674	207.0547263681583	0.8005668430034412	0.3681481982582169	52.572471184558815	6719.0	0.8389263798921909	0.29999510218741043	53.19290039498072	6719.0	0.8389263798921909	0.29999510218741043	53.19290039498072
27	1	0.0	1.5358817635056157	0.4069524106461087	24.01090011118893	330.0	0.9069754377941646	0.40191024677641984	88.65700006724116	85.0	1.2803911573246836	0.4073465523773516	45.22317357898415	732.0	0.8877736433648741	0.3923923919165601	89.8421924598574	330.0	0.9069754377941646	0.40191024677641984	88.65700006724116	10399.0	0.8335527327502255	0.29999937621570066	60.203240943414734	10399.0	0.8335527327502255	0.29999937621570066	60.203240943414734
27	2	0.0	1.2854876161859026	0.35920935991116865	24.353241930425483	204.94527363183806	0.789690708939992	0.3583213054212202	44.99427058268954	69.34328358209314	1.1011905646354807	0.3593352352195843	24.07442153274339	300.94527363184534	0.8129403953173638	0.35597289317215225	60.697035647719034	204.94527363183806	0.789690708939992	0.3583213054212202	44.99427058268954	3357.9452736318417	0.8371142883972634	0.2999989744582384	50.94744362300095	3357.9452736318417	0.8371142883972634	0.2999989744582384	50.94744362300095
27	3	0.0	1.2868088662720971	0.3570019559361403	19.912815935357116	205.24378109452664	0.7850712793881309	0.35871459707995706	33.92611857664384	164.24378109452664	0.8743741938973602	0.35889916885091533	27.56428415256601	7934.243781094527	0.7345717099644696	0.2959256120780366	61.4861799970886	205.24378109452664	0.7850712793881309	0.35871459707995706	33.92611857664384	7721.243781094527	0.7517708964241935	0.29998094794627944	59.06608818084071	7721.243781094527	0.7517708964241935	0.29998094794627944	59.06608818084071
27	4	0.0	1.5627403841681977	0.4284586806598102	24.490791694369943	229.54228855721522	0.9371769668595398	0.4275306516912694	82.98203611857225	109.54228855721158	1.220425940625781	0.42951161280388556	50.45523711044325	723.5422885572152	0.939651560212864	0.40964273882263685	85.62607952428594	229.54228855721522	0.9371769668595398	0.4275306516912694	82.98203611857225	9287.542288557215	0.8562644311270559	0.2999959254145098	56.03302428079476	9287.542288557215	0.8562644311270559	0.2999959254145098	56.03302428079476
27	5	0.0	1.4862134529155833	0.42437387158582063	21.877190279669488	208.12437810945266	0.9122362303800459	0.4217876653572178	63.682163076203885	0.0	1.4862134529155833	0.42437387158582063	21.877190279669488	1793.1243781094527	0.9123765844480463	0.3707921479885498	79.01379952967994	208.12437810945266	0.9122362303800459	0.4217876653572178	63.682163076203885	7944.124378109453	0.8545637092850601	0.2999995125710995	53.17021171306123	7944.124378109453	0.8545637092850601	0.2999995125710995	53.17021171306123
27	6	0.0	1.5719699839341146	0.4232992402818581	19.90896239971948	245.99999999999636	0.9339168241181364	0.42189029579323717	73.55893905837044	107.0	1.2411462412959338	0.42435010614616914	38.34735342191545	339.00000000000364	0.9374617251917244	0.41850847498053	76.11027866371644	245.99999999999636	0.9339168241181364	0.42189029579323717	73.55893905837044	4487.999999999996	0.7359485671103685	0.2999966014272501	55.152882143011446	4590.0	0.7501593644033447	0.2977768872282364	54.1903416464224
27	7	0.0	1.5091811598302538	0.3949222233729602	22.426863140575964	446.99999999999636	0.9274407261821672	0.38612788127443654	76.8539672499608	69.00000000000364	1.3091901685398009	0.39508966811834034	32.00577377210948	301.0000000000073	0.932445772675147	0.3907191548809403	78.13415022303668	446.99999999999636	0.9274407261821672	0.38612788127443654	76.8539672499608	7095.0	0.838958814763293	0.2999982229297526	52.954738340514844	7095.0	0.838958814763293	0.2999982229297526	52.954738340514844
27	8	0.0	1.2877713867110274	0.36094749490526146	19.28911572767535	205.92537313433058	0.7845027357236073	0.360094437283554	39.30888481229082	68.33830845771445	1.1085182877666293	0.3611478355840859	19.266750149152973	2487.925373134334	0.7964433038652368	0.31830128415742326	61.73444057600517	205.92537313433058	0.7845027357236073	0.360094437283554	39.30888481229082	3442.925373134334	0.7375109273387719	0.2999907382947448	54.23660512631403	3626.9253731343306	0.7503380611285352	0.29650250721383553	53.59106602456744
27	9	0.0	1.3815528070919956	0.3904111320159582	19.27473593354333	278.25870646765907	0.8323127087062474	0.39127049270491504	58.05717405212275	158.99999999999636	0.9579466836767031	0.3919245280263561	37.89293562369002	684.0000000000036	0.8706764839632198	0.38364971684674815	64.64819207213527	278.25870646765907	0.8323127087062474	0.39127049270491504	58.05717405212275	6715.0	0.877260857213845	0.2999973117117224	53.54084625023194	6715.0	0.877260857213845	0.2999973117117224	53.54084625023194
27	10	0.0	1.375236265343703	0.36830558241899053	20.391106177130677	206.0	0.8150040806836163	0.3655039032198813	54.509962169847334	0.0	1.375236265343703	0.36830558241899053	20.391106177130677	300.00000000000364	0.8218990599455415	0.36245921739868725	66.80773362837972	206.0	0.8150040806836163	0.3655039032198813	54.509962169847334	4715.0	0.9061658629080401	0.2999989775112635	48.8076936093424	4715.0	0.9061658629080401	0.2999989775112635	48.8076936093424
27	11	0.0	1.4516314116407707	0.4084017067066993	31.204047624963632	243.0	0.8696467269901332	0.4031149890689129	88.18675466772363	0.0	1.4516314116407707	0.4084017067066993	31.204047624963632	239.00000000000364	0.8696576628357365	0.4032493394458219	88.20687829626743	243.0	0.8696467269901332	0.4031149890689129	88.18675466772363	11926.0	0.782200155799408	0.2999839362708459	56.88676599748421	11926.0	0.782200155799408	0.2999839362708459	56.88676599748421
