KD_RelA	k_RelA	k_SpoT_deg	k_SpoT_syn
0.325151855246584	82.3918092980627	0.062607137107992	0.001132610359918
0.324369225746265	82.3930302000832	0.055688692325171	0.001195220719943
0.311001913870113	82.4052392202978	0.006101287145256	0.001445662160246
0.310939303509979	82.4053018306579	0.006069981965189	0.001414356980179
0.310782777609986	82.4054583565579	0.005976066425193	0.001445662160177
0.310657556890085	82.4055835772778	0.005882150885268	0.001445662160177
0.309626625491847	82.4065207876398	0.0040389705066	0.001351941123974
0.308533213406025	82.4076766804163	0.002289511169285	0.001476902505211
0.30619327219577	82.4097670278975	0.000916745659269	0.001352105640663
0.306130885426985	82.4097670278975	0.000916745659269	0.001383299025055
0.306068607230018	82.4097981669959	0.000916745659269	0.001414438123539
0.306068607230018	82.4098293060943	0.000885606560888	0.001414438123539
0.306006426933966	82.4099225765384	0.000885606560888	0.001414438123539
0.305944246637992	82.4099536666864	0.000854516412901	0.001414438123539
0.305913201179769	82.4099847121446	0.000854516412901	0.001445483581763
0.305882155721538	82.4100468030611	0.00082347095467	0.001445483581763
0.305851151479432	82.4100468030611	0.000792466712564	0.001414479339657
0.305944148825054	82.4100158039458	0.000854464942979	0.001414479339657
0.305975110393027	82.4100158039458	0.000854464942979	0.001414479339657
0.31108198429364	82.4049398807962	0.001844888972189	0.001414479339656
0.317358189759229	82.3987873444039	0.005029367607438	0.001630900217778
0.317389088912122	82.398756445251	0.005152964219008	0.001630900217778
0.317296477985355	82.3987873155599	0.005029482983319	0.001569159599934
0.317080566228132	82.3990340718539	0.004535970395382	0.001723382283665
0.316155940730525	82.3999278765016	0.003734628297456	0.001723382283664
0.314585179371466	82.4017450317993	0.001825075272716	0.00196977622234
0.314369725067034	82.4020220444764	0.001640400154631	0.001938997035993
0.314338964756069	82.4020528047874	0.001609639843666	0.001908236725028
0.314215994665869	82.402145032355	0.001548154798566	0.001908236725028
0.314093092402104	82.4022372090528	0.001578880364507	0.001908236725028
0.314185220301696	82.4021143718534	0.001609589664371	0.001908236725028
0.316364466320319	82.3999044322288	0.002683865870734	0.00196962393682
0.316364466320319	82.3999044322288	0.002714544315669	0.00196962393682
0.32120934299887	82.3950288917738	0.005412956642964	0.00206161526616
0.321239992376478	82.3949982423962	0.005566203531	0.002092264643767
0.32120935715475	82.3950595128397	0.005535568309272	0.002092264643767
0.32114811444206	82.395090134196	0.005443704240238	0.002122886000112
0.319250438397146	82.396987810241	0.00296448231059	0.002214709034543
0.319128061969387	82.3970795925618	0.002933888203651	0.002153520820664
0.319097481310141	82.3971713345395	0.002872726885159	0.002122940161419
0.319005779487943	82.3972936036358	0.002811592337026	0.002122940161419
0.318944671396828	82.3973852657725	0.002719930200353	0.002122940161419
0.318932582987356	82.3973668133452	0.002707841790882	0.002092399324725
0.319024165879368	82.3972752304532	0.002768897052223	0.002092399324725
0.319146223631733	82.3971226582628	0.002799411490315	0.002031370448542
0.330889225122945	82.3850746437457	0.009326690241273	0.001939866540819
0.334120970442762	82.3818733865893	0.01207062494678	0.002061819194397
0.334334295231952	82.3816295868302	0.012283949735969	0.002092294164281
0.334334295231952	82.3816905103622	0.01210117914011	0.002061832398305
0.330832713716516	82.3854356801571	0.002083611152475	0.002427214817309
0.330254439949104	82.3859530830016	0.001596643769391	0.002366343894423
0.330224017620531	82.3859835053302	0.001535799112244	0.002335921565849
0.330102380123682	82.3860443240786	0.001535799112244	0.002335921565849
0.330071983720205	82.3860747204821	0.001505402708768	0.002305525162373
0.330041600248327	82.386105103954	0.001414252293132	0.002275141690495
0.330041600248327	82.3861354745482	0.001414252293132	0.002244771096266
0.330011242499348	82.3861658322972	0.001414252293132	0.002244771096266
0.32998089768528	82.3861961771112	0.001414252293132	0.002244771096266
