vmax	KI_ppgpp	KM_rrn
4.96867944073153	1.33058177000811	20.0247086599683
4.96826066983729	1.33018800909162	20.0250389261629
4.96451596609033	1.32666866449384	20.0279927655827
4.96409903468921	1.32627679096452	20.0283216976526
4.96368158002074	1.32588441005611	20.0286510844435
4.96326030554604	1.32548838557441	20.0289842513134
4.96333265222948	1.325559890195	20.0289188345426
4.96347932092398	1.32570507668094	20.0287819723761
4.96358056229902	1.32580522694235	20.02868877762
4.96375295007263	1.32597591061148	20.0285271927952
4.96393155107024	1.32615275344223	20.0283596366144
4.96417577769518	1.32639465512367	20.0281290021952
4.96447197537909	1.32668807718439	20.027848419501
4.96475556747294	1.32696900374917	20.0275799497075
4.96499997853032	1.32721108868456	20.0273491336051
4.96530950215193	1.32751772220968	20.0270557387717
4.96569281774762	1.32789750647275	20.0267150262731
4.96608179154104	1.32828290020514	20.0263743140169
4.96651176625589	1.32868704828234	20.0260323587631
4.96694098268077	1.32909048296044	20.0256911762063
4.96737224591449	1.32949593017108	20.0253481827878
4.96780397958298	1.3299018259916	20.0250047163316
4.96823548498326	1.33030741098033	20.024661147902
4.96866584933944	1.33071184174077	20.0243184727248
4.96909497228334	1.33111502425277	20.0239767921672
4.96951386951408	1.33151807781524	20.0236352277539
4.96991816635126	1.33191866206516	20.0232937502174
4.97034772427346	1.33232223540763	20.0229515482452
4.97077764123565	1.33272614048498	20.0226089457911
4.97120867809349	1.33313113980735	20.0222653213742
4.97164084146173	1.33353724805178	20.0219206959232
4.9720737369755	1.33394412304574	20.0215755789317
4.97250748168074	1.33435182689062	20.0212296756206
4.97294097826628	1.33475925970159	20.0208838956152
4.97685316698233	1.33843617684945	20.0177602603924
4.97728532483715	1.33884220727056	20.0174153010096
4.97771613874924	1.33924689094314	20.0170714427173
4.97814541615563	1.33965007191844	20.0167289647892
4.97857234120101	1.34005314624196	20.0163865732507
4.97900262483168	1.34045730382978	20.0160431501307
4.97943195296857	1.34086052569951	20.0157005773144
4.97986154107986	1.34126402426516	20.0153578435269
4.98029138629503	1.34166778163889	20.0150149009643
4.98072202938131	1.34207231649708	20.0146712178599
4.98115410378295	1.34247823249346	20.0143261706664
4.98158712053107	1.34288509972277	20.0139803676417
4.98202059820228	1.34329239201594	20.0136341003705
4.98245270077065	1.34369838431827	20.0132891794767
4.98288534435435	1.3441048768775	20.0129436634535
4.98331486484305	1.34450820248475	20.0126006120806
4.98374510359342	1.34491218817139	20.0122567413763
4.98417504352121	1.34531588539675	20.0119131477091
4.98460584818499	1.34572039400442	20.0115686591142
4.98503798243839	1.34612618952948	20.0112229112192
4.98546996070335	1.34653182785985	20.0108772851136
4.98590206211095	1.34693757908697	20.0105315156187
4.98633481439547	1.34734394887098	20.0101850879701
4.98676784372199	1.34775058319837	20.0098383850837
4.9872000971137	1.34815647960377	20.0094924431325
4.98763319232785	1.34856316296571	20.0091456143766
4.98806654098934	1.34897008294619	20.0087985124883
4.98850028816689	1.34937737653613	20.0084509961069
4.98893370922766	1.349784364786	20.0081038058005
4.9893667565315	1.35019099141321	20.0077569626858
4.98980082950571	1.35059866685147	20.0074093629393
4.9915387805786	1.35223083579466	20.0060167543476
4.99327652765918	1.35386277191178	20.0046241092334
4.99588431463843	1.35631172486518	20.0025335598156
4.9963177877157	1.35671876739676	20.0021862144533
4.9967510536995	1.35712556157275	20.0018388973999
4.99718397550985	1.35753203179742	20.0014919287199
4.99761652397473	1.35793809464141	20.0011451552646
4.99805003594847	1.35834510927743	20.0007975307911
4.99848377036378	1.3587523604901	20.0004497584303
4.99935238228946	1.35956791377953	19.999752938217
4.99978636058337	1.35997537013379	19.9994048133429
5.00021843650412	1.36038087153705	19.9990581016054
5.0006491110322	1.36078498118274	19.9987125774437
5.00107901549916	1.36118835587887	19.9983678005843
5.00150853453649	1.36159136159598	19.998023395651
5.00191811487676	1.36199396772529	19.9976793886089
5.00227996801479	1.36235249143269	19.9973357716655
5.00252534773535	1.36259554484094	19.9971038187964
5.00281304477437	1.3628805526099	19.9968311552097
5.00324048666404	1.36328334924226	19.9964872658176
5.00367005124817	1.36368651745489	19.9961431594857
5.00410038934266	1.36409044980857	19.995798372131
5.00453178982216	1.36449540602214	19.9954525806784
5.00496341561315	1.36490056562474	19.9951065138117
5.00539507424277	1.36530574938384	19.9947603840244
5.00582748376864	1.36571162911838	19.9944134490142
