kS	KMaa	KMtf	krta	krtf
100.181013996	92.5456407182035	1.26570590854275	0.51524281529743	243.00009163977
100.33664669355	92.4118097067497	1.22808548209794	0.508685942791175	243.000176026906
100.331765823022	92.4163333735589	1.22894989940772	0.510606331210573	243.000150463175
100.328076143207	92.4193346525785	1.22953037461339	0.515409172119868	243.000090610355
100.326946311149	92.4204830795105	1.22919500635206	0.520744732317652	243.000025991456
100.242659200391	92.5052791442109	1.23466165323672	0.624967576421868	242.998748760308
100.223473770564	92.5207154281757	1.23537847985404	0.668691081885853	242.998219261596
100.209096806811	92.5311419483144	1.23929067902377	0.685170925050765	242.998013365434
100.205048721863	92.5336104085694	1.24022425764244	0.694205461884538	242.997902220108
100.183949220756	92.5459959423929	1.24635708014673	0.729814896036928	242.997461071826
100.180355541561	92.5481892086616	1.24778481767914	0.732456735312614	242.99742611086
100.178902689609	92.549212501726	1.24811370204435	0.735464035976786	242.997389826001
100.157428690928	92.5636165866163	1.25606767367156	0.75751897072761	242.997116931143
100.153889645567	92.5651413327048	1.25792761972187	0.760159152801424	242.99708157161
100.151918433104	92.5663233268066	1.25871476391485	0.763038891184345	242.997046044763
100.149705319924	92.5675526415041	1.25973983714534	0.76587639833923	242.997011091634
100.147297027447	92.5687277297822	1.26085148232715	0.768144867936944	242.996976393894
100.145297074041	92.5697536366143	1.26176563953119	0.77102738819099	242.996941864067
100.143935709926	92.5711705596054	1.26173516537566	0.774000406444175	242.996907981882
100.142062207996	92.5724721607839	1.26237886781096	0.77691374314158	242.996873567463
100.14023881292	92.573858935817	1.26297019060406	0.779815483313013	242.996839560501
100.138638709643	92.5750692543634	1.26344303298007	0.78273929371206	242.996805331819
100.137346567696	92.5760899242081	1.26370362909467	0.785748384075839	242.99677057628
100.135659366544	92.577159506849	1.26436299884079	0.788690801176867	242.996736058481
100.133963952554	92.5781283339684	1.26508879403088	0.791585634005966	242.996701365103
100.1308130892	92.5806299212643	1.26577297511768	0.797469391452823	242.996633807569
100.128366008214	92.5823831117689	1.26662256009908	0.800263985295597	242.996601172599
100.126610633097	92.5834903493345	1.2673280489916	0.803140782845278	242.996566959583
100.123961662009	92.5850109983221	1.26854399767801	0.805397450743961	242.996534107759
100.122559120537	92.5858105525594	1.2690448496418	0.806129424246111	242.996500078088
100.120927790845	92.5867709247082	1.26967879935775	0.808990652110446	242.99646648822
100.112854159886	92.5908183619832	1.27378213187862	0.81692360850597	242.996368393882
100.100487318745	92.5979269708217	1.27852044107218	0.840323935023186	242.996143529217
100.083282630577	92.6075450908233	1.28465753612407	0.869580461476262	242.995807133186
100.081553064805	92.6086630678269	1.28534060929886	0.872498195369405	242.995773464758
100.083673490165	92.6071372213522	1.28461550016262	0.869649731525593	242.995805850896
100.084161947745	92.6061686487737	1.28365070001826	0.868566571538533	242.995838257296
100.082599477349	92.6069222839688	1.2845923340213	0.871504291367596	242.99580369223
100.083281116362	92.6057241749574	1.28349288032777	0.870273077170555	242.99583623416
100.081405015786	92.6066535907191	1.28443236417876	0.873139532583511	242.995802924997
100.081768745012	92.6058579687944	1.28415413191416	0.872144599870547	242.995836142779
100.081093541516	92.6065150264962	1.2841992427217	0.875241335105581	242.995802845585
100.081651758284	92.6054619296974	1.28413329808027	0.874211913571926	242.995834907867
100.080959017979	92.6059063096498	1.28429616877759	0.877306993676394	242.995800971996
100.080308020541	92.606954541756	1.28412206024558	0.880417142881092	242.995768309335
100.073592644107	92.6100365800456	1.2869470490622	0.895375833016685	242.995658764313
100.071608386912	92.611211988104	1.28781986821694	0.898265335509922	242.995625967287
100.07015477477	92.612006544466	1.28831077738736	0.899032252944492	242.995593710545
100.068840552766	92.6129611835915	1.28868039200254	0.902044384258118	242.995560807668
100.067456104942	92.6140820838875	1.28904493308815	0.903132355545716	242.995528239305
100.067259185223	92.6138253212386	1.28879742273287	0.902823872352076	242.995560364307
100.068945811184	92.6126021166781	1.28826057673286	0.899904755838067	242.99559249289
100.069470504767	92.6114533389988	1.28713712535228	0.898749675936177	242.995624753852
100.071241088712	92.609970114895	1.28666115412059	0.895862806071419	242.995655913333
100.07047669154	92.6103773489915	1.28692382534362	0.898840689421949	242.995622793623
100.06917955447	92.6110491803824	1.28737267560993	0.901784180181287	242.995590522727
100.068539594284	92.6114283088718	1.28755611243194	0.904870167348014	242.995557549724
100.064122907826	92.6133649048733	1.29003272165494	0.910263822994732	242.995493877567
100.064236765995	92.6128127378119	1.28985108624292	0.909707293574426	242.995525024871
100.063125154071	92.6136223273248	1.29021186749569	0.91070537264692	242.995493171645
100.061721586105	92.6145155313669	1.29065761197075	0.91363170601336	242.99546159404
100.059972269042	92.615582222292	1.29146679516844	0.916481925428879	242.995430121441
100.059273547876	92.6161768032628	1.29153169996702	0.919556791599875	242.995398066485
100.058580823363	92.6169411034887	1.29151160212477	0.92263991269959	242.995366277234
100.057751872938	92.61798676596	1.29141521374913	0.925681312994142	242.995334938417
100.057124078001	92.6188255248822	1.29125427137823	0.928803698504638	242.995302920814
100.056141833889	92.6194582130393	1.29155615091348	0.931849258537301	242.995270528732
100.055204697862	92.6203620265806	1.29174514111202	0.934885656681227	242.995238641446
100.054149676738	92.6212634516883	1.29196101161607	0.937927590016488	242.995206573375
100.053166949192	92.6219612061494	1.2921970218969	0.940990200301128	242.99517409703
100.053742537865	92.6210268996891	1.29147523483081	0.939902919585571	242.995206107296
100.052517180123	92.621962185457	1.29190235552052	0.942892322765494	242.995174230711
100.051256619674	92.6227406274954	1.29241839156897	0.945891690855809	242.995169441785
